Factors	Number	Percent	

Failure to yield right of way	1791	29.5	
Improper crossing of roadway or intersection	1170	19.2	
Not visible (dark clothing, no lighting, etc.)	933	15.3	
In roadway improperly (standing, lying, working, playing)	887	14.6	
Under the influence of alcohol, drugs, or medication	698	11.5	
Darting or running into road	611	10.0	
Failure to obey traffic signs, signals, or officer	241	4.0	
Physical impairment	120	2.0	
Inattentive (talking, eating, etc.)	118	1.9	
Traveling on Prohibited Trafficways	95	1.6	
Wrong-way walking	88	1.4	
Emotional (e.g. depression, angry, disturbed)	44	0.7	
Entering/exiting parked/standing vehicle	39	0.6	
Ill, blackout	25	0.4	
Vision obscured (by rain, snow, parked vehicle, sign, etc.)	17	0.3	
Non-Motorist pushing  vehicle	6	0.1	
Portable Electronic Devices	6	0.1	
Asleep or fatigued	2	0.0	
Other factors	199	3.3	
None Reported	776	12.8	
Unknown	952	15.7	
Total	6080	100.0	
